method,head,coverage,error_rate
dropconnect,head2,0.633277027027027,0.014937316617764762
dropconnect,head2,0.6282094594594595,0.01452003226673837
dropconnect,head2,0.6233108108108109,0.014363143631436315
dropconnect,head2,0.6182432432432432,0.014207650273224015
dropconnect,head2,0.6131756756756757,0.014325068870523427
dropconnect,head2,0.6081081081081081,0.014444444444444482
dropconnect,head2,0.6032094594594595,0.013721646597591675
dropconnect,head2,0.5981418918918919,0.013273086698672665
dropconnect,head2,0.5930743243243243,0.01253204215323267
dropconnect,head2,0.5881756756756756,0.01263641585295805
dropconnect,head2,0.5831081081081081,0.01274623406720743
dropconnect,head2,0.5780405405405405,0.012273524254821755
dropconnect,head2,0.572972972972973,0.012087264150943411
dropconnect,head2,0.5680743243243244,0.011894142134998509
dropconnect,head2,0.5630067567567567,0.012001200120012046
dropconnect,head2,0.5579391891891892,0.0121102028458977
dropconnect,head2,0.5528716216216216,0.011610143599144473
dropconnect,head2,0.547972972972973,0.01140567200986442
dropconnect,head2,0.5429054054054054,0.010889856876166726
dropconnect,head2,0.5378378378378378,0.010678391959799027
dropconnect,head2,0.5327702702702702,0.010462904248573213
dropconnect,head2,0.5278716216216216,0.010240000000000027
dropconnect,head2,0.5228040540540541,0.01033925686591275
dropconnect,head2,0.5177364864864865,0.010114192495921714
dropconnect,head2,0.512668918918919,0.009884678747940745
dropconnect,head2,0.5077702702702702,0.009314703925482393
dropconnect,head2,0.5027027027027027,0.009408602150537626
dropconnect,head2,0.49763513513513513,0.009164969450101812
dropconnect,head2,0.4925675675675676,0.0092592592592593
dropconnect,head2,0.4876689189189189,0.009005888465535183
dropconnect,head2,0.48260135135135135,0.008750437521876098
dropconnect,head2,0.4775337837837838,0.008843296781040011
dropconnect,head2,0.4724662162162162,0.008580622095101909
dropconnect,head2,0.46756756756756757,0.008309248554913329
dropconnect,head2,0.4625,0.008035062089116196
dropconnect,head2,0.4574324324324324,0.008124076809453484
dropconnect,head2,0.4523648648648649,0.007841672890216533
dropconnect,head2,0.44746621621621624,0.007927519818799578
dropconnect,head2,0.44239864864864864,0.008018327605956443
dropconnect,head2,0.4373310810810811,0.008111239860950192
dropconnect,head2,0.4322635135135135,0.008206330597889777
dropconnect,head2,0.42736486486486486,0.008300395256916948
dropconnect,head2,0.4222972972972973,0.008399999999999963
dropconnect,head2,0.4172297297297297,0.008502024291497934
dropconnect,head2,0.41216216216216217,0.008606557377049184
dropconnect,head2,0.40726351351351353,0.008710078805474919
dropconnect,head2,0.40219594594594593,0.007979840403191885
dropconnect,head2,0.3971283783783784,0.008081667375584911
dropconnect,head2,0.39222972972972975,0.007751937984496138
dropconnect,head2,0.38716216216216215,0.007853403141361293
dropconnect,head2,0.3820945945945946,0.007073386383731228
dropconnect,head2,0.377027027027027,0.007168458781361964
dropconnect,head2,0.37212837837837837,0.005901044030866998
dropconnect,head2,0.3670608108108108,0.005062126092959085
dropconnect,head2,0.3619932432432432,0.005132991133924403
dropconnect,head2,0.3569256756756757,0.004732607666824373
dropconnect,head2,0.35202702702702704,0.004798464491362786
dropconnect,head2,0.34695945945945944,0.004868549172346692
dropconnect,head2,0.3418918918918919,0.004940711462450564
dropconnect,head2,0.3368243243243243,0.005015045135406182
dropconnect,head2,0.33192567567567566,0.0050890585241730735
dropconnect,head2,0.3268581081081081,0.0051679586563307955
dropconnect,head2,0.3217905405405405,0.005249343832021025
dropconnect,head2,0.31672297297297297,0.005333333333333301
dropconnect,head2,0.31182432432432433,0.005417118093174467
dropconnect,head2,0.30675675675675673,0.005506607929515406
dropconnect,head2,0.3016891891891892,0.005599104143337086
dropconnect,head2,0.29662162162162165,0.005125284738040969
dropconnect,head2,0.29172297297297295,0.005211349160393786
dropconnect,head2,0.2866554054054054,0.005303476723629963
dropconnect,head2,0.28158783783783786,0.005398920215956782
dropconnect,head2,0.27652027027027026,0.004886988393402514
dropconnect,head2,0.2716216216216216,0.0043532338308457375
dropconnect,head2,0.2665540540540541,0.0038022813688213253
dropconnect,head2,0.2614864864864865,0.003875968992248069
dropconnect,head2,0.25641891891891894,0.0039525691699604515
dropconnect,head2,0.2515202702702703,0.00335795836131636
dropconnect,head2,0.2464527027027027,0.0034270047978066653
dropconnect,head2,0.24138513513513513,0.0034989503149055468
dropconnect,head2,0.23631756756756755,0.0035739814152966343
dropconnect,head2,0.23141891891891891,0.0036496350364964014
dropconnect,head2,0.22635135135135134,0.003731343283582045
dropconnect,head2,0.22128378378378377,0.003053435114503844
dropconnect,head2,0.21621621621621623,0.0031250000000000444
dropconnect,head2,0.21131756756756756,0.0023980815347721673
dropconnect,head2,0.20625,0.002457002457002422
dropconnect,head2,0.20118243243243245,0.0025188916876573986
dropconnect,head2,0.19628378378378378,0.002581755593803803
dropconnect,head2,0.1912162162162162,0.0026501766784452485
dropconnect,head2,0.18614864864864866,0.0027223230490017736
