model,isic_id,head1_entropy_original,head1_entropy_black,head1_entropy_diff_black,head2_entropy_original,head2_entropy_black,head2_entropy_diff_black
dropconnect,ISIC_4814164,7.346995904894513e-05,0.0015828498723025313,0.0015093799132535862,0.00012894921389138982,0.000672746402913709,0.0005437971890223192
dropconnect,ISIC_6586433,0.17623779276069443,0.2456489731584533,0.06941118039775887,0.3506783505027556,0.9356740893370592,0.5849957388343037
dropconnect,ISIC_6945634,0.19437330841724548,0.0011197794993057946,-0.19325352891793968,0.31471380562084644,0.001602889193717638,-0.3131109164271288
dropconnect,ISIC_6965881,0.13474666835312107,0.4710579809538945,0.3363113126007734,0.05267576371387287,0.4144804579343441,0.36180469422047123
dropconnect,ISIC_7418664,0.0004321868152992484,8.038142863078602e-05,-0.0003518053866684624,0.0007924865089871178,3.9477055601007944e-05,-0.0007530094533861098
dropconnect,ISIC_7576704,0.5531796671093241,2.8407557563442516e-05,-0.5531512595517607,0.34046276484351934,0.0001270561201452199,-0.3403357087233741
dropconnect,ISIC_8006211,0.6902407815645772,0.026325655540339492,-0.6639151260242377,0.540327668905913,0.012308551122916978,-0.528019117782996
dropconnect,ISIC_8184620,0.42500105817835687,0.01375402253749808,-0.4112470356408588,0.13458841616211437,0.024764224312320265,-0.1098241918497941
dropconnect,ISIC_8546532,0.39500975052731196,0.0025514991488994583,-0.3924582513784125,0.5801361565448329,0.0021391689651240916,-0.5779969875797087
dropconnect,ISIC_8778158,0.6405753749369838,1.037111930227501e-07,-0.6405752712257907,0.6819950002114203,8.551453263200189e-08,-0.6819949146968877
dropconnect,ISIC_9543045,0.015310249508558953,5.3741025353570866e-05,-0.015256508483205382,0.029376355081338467,3.856060215081226e-05,-0.029337794479187655
flipout,ISIC_1049431,0.6046723376171865,0.5379968230477198,-0.06667551456946674,0.7809868604178067,0.7416999281777898,-0.03928693224001689
flipout,ISIC_1151359,0.47627191541891045,0.2808047046812954,-0.19546721073761503,0.7879573037439374,0.47528100834987025,-0.3126762953940671
flipout,ISIC_1727295,0.4647792733142274,0.20819597815410615,-0.25658329516012124,0.9440247065448584,0.7852578463359825,-0.15876686020887587
